"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"2026-10","USD","2026-10-1","Jaçanã","1","79836"
"2028-10","USD","2028-10-0","Metrô Tucuruvi","0","82186"
"2028-10","USD","2028-10-1","Vl. Ayrosa","1","82187"
"2029-10","USD","2029-10-0","Metrô Tucuruvi","0","82182"
"2029-10","USD","2029-10-1","Jd. Fontális","1","82183"
"2030-10","U__","2030-10-0","Metrô Santana","0","65209"
"2031-10","USD","2031-10-0","Term. A. E. Carvalho","0","72382"
"2031-10","USD","2031-10-1","Cid. Kemel Ii","1","72383"
"2032-10","US_","2032-10-0","Metrô Carandiru","0","80425"
"2033-10","USD","2033-10-0","Shop. D","0","82141"
"2058-10","US_","2058-10-0","Cptm Guaianases","0","65011"
"2058-10","US_","2058-10-1","Term. São Miguel","1","65012"
"2059-10","USD","2059-10-0","Cptm Guaianases","0","52554"
"2059-10","USD","2059-10-1","São Miguel","1","70127"
"2060-10","USD","2060-10-0","Metrô Artur Alvim","0","79754"
"2076-10","USD","2076-10-0","Term. Penha","0","81928"
"2076-10","USD","2076-10-1","Jd. Das Oliveiras","1","81929"
"2079-10","U__","2079-10-0","Cptm Itaim Paulista","0","82329"
"2080-10","USD","2080-10-0","Term. Aricanduva","0","82050"
"2080-10","USD","2080-10-1","Cid. Kemel","1","82051"
"2088-10","USD","2088-10-0","Term. A. E. Carvalho","0","59120"
"2088-10","USD","2088-10-1","Conj. Encosta Norte","1","70134"
"208M-10","USD","208M-10-0","Term. Pinheiros","0","65000"
"208M-10","USD","208M-10-1","Metrô Santana","1","68276"
"208V-10","USD","208V-10-0","Term. Pq. D. Pedro Ii","0","70114"
"208V-10","USD","208V-10-1","Term. A. E. Carvalho","1","63046"
"209P-1","USD","209P-1-0","Term. Pinheiros","0","59036"
"209P-1","USD","209P-1-1","Cachoeirinha","1","79591"
"209P-10","USD","209P-10-0","Term. Pinheiros","0","59026"
"209P-10","USD","209P-10-1","Cachoeirinha","1","79592"
"2100-10","US_","2100-10-0","Pça. Da Sé","0","82031"
"2100-10","US_","2100-10-1","Term. Vl. Carrão","1","82123"
"2101-10","U__","2101-10-0","Pça. Da Sé","0","59802"
"2101-41","U__","2101-41-0","Term. Vl. Prudente","0","80120"
"2104-10","USD","2104-10-0","Term. Pq. D. Pedro Ii","0","71689"
"2104-10","USD","2104-10-1","Metrô Santana","1","71690"
"2105-10","USD","2105-10-0","Lgo. Da Concórdia","0","56061"
"2105-10","USD","2105-10-1","Jd. Filhos Da Terra","1","71693"
"211L-10","USD","211L-10-0","Lapa","0","71150"
"211L-10","USD","211L-10-1","Mandaqui","1","71149"
"211V-10","USD","211V-10-0","Penha","0","64026"
"2123-10","US_","2123-10-0","Liberdade","0","64710"
"2123-10","US_","2123-10-1","Vl. Medeiros","1","68637"
"2127-10","USD","2127-10-0","Liberdade","0","61405"
"2127-10","USD","2127-10-1","Pq. Edu Chaves","1","68638"
"213E-10","U__","213E-10-0","Metrô Belém","0","64597"
"213E-10","U__","213E-10-1","Pq. Edu Chaves","1","73025"
"2161-10","USD","2161-10-0","Pça. Do Correio","0","78846"
"2161-10","USD","2161-10-1","Pq. Edu Chaves","1","78847"
"2175-10","US_","2175-10-0","Term. Pq. D. Pedro Ii","0","82515"
"2175-10","US_","2175-10-1","Pq. Edu Chaves","1","82516"
"2182-10","USD","2182-10-0","Pça. Do Correio","0","72244"
"2182-10","USD","2182-10-1","Jd. Brasil","1","70858"
"2201-10","USD","2201-10-0","Cptm Guaianases","0","52666"
"2201-10","USD","2201-10-1","Div. De Ferraz","1","52667"
"2202-10","USD","2202-10-0","Cptm Guaianases","0","72738"
"2202-10","USD","2202-10-1","Jd. Das Oliveiras","1","72739"
"2203-10","USD","2203-10-0","Shop. Penha","0","81129"
"2203-10","USD","2203-10-1","Burgo Paulista","1","81130"
"2290-10","USD","2290-10-0","Term. Pq. D. Pedro Ii","0","80750"
"2290-10","USD","2290-10-1","Term. São Mateus","1","69526"
"2290-21","U__","2290-21-0","Term. Pq. D. Pedro Ii","0","69529"
"233A-10","USD","233A-10-0","Term. Vl. Carrão","0","79868"
