"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","3459-21","","",""
"Ônibus","3459-23","","",""
"Ônibus","3459-24","","",""
"Ônibus","3462-10","","",""
"Ônibus","3462-41","","",""
"Ônibus","351F-10","","",""
"Ônibus","352A-10","","",""
"Ônibus","3539-10","","",""
"Ônibus","354M-10","","",""
"Ônibus","364A-10","","",""
"Ônibus","3686-10","","",""
"Ônibus","3686-21","","",""
"Ônibus","3712-10","","",""
"Ônibus","3712-51","","",""
"Ônibus","3718-10","","",""
"Ônibus","3721-10","","",""
"Ônibus","3721-41","","",""
"Ônibus","3722-10","","",""
"Ônibus","3725-10","","",""
"Ônibus","3725-41","","",""
"Ônibus","3728-10","","",""
"Ônibus","3728-41","","",""
"Ônibus","3729-10","","",""
"Ônibus","372F-10","","",""
"Ônibus","372U-10","","",""
"Ônibus","3731-10","","",""
"Ônibus","3732-10","","",""
"Ônibus","3734-10","","",""
"Ônibus","3735-10","","",""
"Ônibus","3735-21","","",""
"Ônibus","3735-41","","",""
"Ônibus","3736-10","","",""
"Ônibus","3737-10","","",""
"Ônibus","3737-31","","",""
"Ônibus","3738-10","","",""
"Ônibus","3739-10","","",""
"Ônibus","373L-10","","",""
"Ônibus","373M-10","","",""
"Ônibus","373T-10","","",""
"Ônibus","3741-10","","",""
"Ônibus","3742-10","","",""
"Ônibus","3743-10","","",""
"Ônibus","3745-10","","",""
"Ônibus","3746-10","","",""
"Ônibus","3746-31","","",""
"Ônibus","374M-10","","",""
"Ônibus","374V-10","","",""
"Ônibus","3751-10","","",""
"Ônibus","3754-10","","",""
"Ônibus","3756-10","","",""
"Ônibus","3761-10","","",""
"Ônibus","3762-10","","",""
"Ônibus","3763-10","","",""
"Ônibus","3766-10","","",""
"Ônibus","3766-51","","",""
"Ônibus","3768-10","","",""
"Ônibus","3773-10","","",""
"Ônibus","3778-10","","",""
"Ônibus","3785-10","","",""
"Ônibus","3787-10","","",""
"Ônibus","3789-10","","",""
"Ônibus","3789-51","","",""
"Ônibus","3791-10","","",""
"Ônibus","3795-10","","",""
"Ônibus","3796-10","","",""
"Ônibus","3901-10","","",""
"Ônibus","3902-10","","",""
"Ônibus","3903-10","","",""
"Ônibus","390E-10","","",""
"Ônibus","390E-41","","",""
"Ônibus","390E-42","","",""
"Ônibus","4001-10","","",""
"Ônibus","4002-10","","",""
"Ônibus","4003-10","","",""
"Ônibus","4004-10","","",""
"Ônibus","4005-10","","",""
"Ônibus","4006-10","","",""
"Ônibus","4006-21","","",""
"Ônibus","4007-10","","",""
"Ônibus","4008-10","","",""
"Ônibus","4008-21","","",""
