stop_id,"stop_name","stop_desc",stop_lat,stop_lon
20014715,"Av. S. Gualter, 1148","Ref.: R Murajuba/ R Madre Mazzarello",-23.545433,-46.710909
20014716,"Av. S. Gualter, 971","Ref.: Av Sao Gualter/ R Engenheiro Sa Rocha",-23.543539,-46.711259
20014717,"Av. S. Gualter, 540","Ref.: R Sucuriu/ R Pianu",-23.540115,-46.712181
20014718,"Av. S. Gualter, 287","Ref.: R Sao Domingos Savio/ R Laura Vicuna",-23.537771,-46.712679
20014734,"R. Da. Elisa Moraes Mendes, 942","Ref.: R Doutor Carlos Norberto De Souza Aranha/ R Carauna",-23.549827,-46.706677
20014735,"R. Da. Elisa Moraes Mendes, 641","Ref.: R Filadelfo Aranha/ R Joao Batista Cardoso",-23.547545,-46.705896
20014736,"Pça. Com. Manoel De Mello Pimenta, 115","Ref.: R Realengo/ R Dona Elisa Moraes Mendes",-23.544219,-46.705403
20014737,"Pça. Com. Manoel De Mello Pimenta, 113","Ref.: R Realengo/ R Professor Tulio Ascareli",-23.544033,-46.704855
20014738,"R. Caminha Amorim, 349","Ref.: R Sebastiao Rodrigues/ R Professor Tulio Ascareli",-23.543550,-46.702525
20014739,"R. Caminha Amorim, 438","Ref.: R Sebastiao Rodrigues/ R Bernarda Luiz",-23.543299,-46.701622
20014740,"R. Cerro Cora, 371","Ref.: R Ajuricaba/ R Antonio Borba",-23.540935,-46.700808
20014741,"R. Cerro Cora, 613","Ref.: R Sebastiao Caleiro/ R Pedro De Sousa Campos Filho",-23.540495,-46.703086
20014743,"R. Cerro Cora, 801","Ref.: Tr Joao Peluci/ R Putumuju",-23.539956,-46.705268
20014744,"R. Cerro Cora, 792","Ref.: Tr Joao Peluci/ R Putumuju",-23.539798,-46.705261
